First 2 of SOC;SOC;Occupation;Generation;2007 Jobs;2013 Jobs;Job Change;% Job Change;2007 Share of All Jobs;2013 Share of All Jobs;Change in Share;
29;29-2021;Dental Hygienists;Baby Boomer; 	19.213 ;26.894;7.681;40 %;11%;14%;3%;
53;53-3041;Taxi Drivers and Chauffeurs;Baby Boomer; 	49.588 ;57.119;7.531;15 %;21%;23%;2%;
13;13-1151;Training and Development Specialists;Baby Boomer; 	31.167 ;38.679;7.512;24 %;15%;17%;2%;
29;29-2071;Medical Records and Health Information Technicians;Baby Boomer; 	29.397 ;36.520;7.123;24 %;17%;19%;2%;
31;31-9091;Dental Assistants;Baby Boomer; 	19.149 ;26.237;7.088;37 %;7%;8%;1%;
35;35-1012;First-Line Supervisors of Food Preparation and Serving Workers;Baby Boomer; 	64.715 ;71.752;7.037;11 %;8%;8%;0%;
29;29-2034;Radiologic Technologists ;Baby Boomer; 	23.094 ;30.070;6.976;30 %;13%;15%;2%;
11;11-3021;Computer and Information Systems Managers;Baby Boomer; 	37.648 ;44.548;6.900;18 %;12%;14%;2%;
23;23-2011;Paralegals and Legal Assistants;Baby Boomer; 	36.752 ;43.579;6.827;19 %;13%;15%;2%;
53;53-3031;Driver/Sales Workers;Baby Boomer; 	54.869 ;61.556;6.687;12 %;13%;15%;2%;
51;51-9111;Packaging and Filling Machine Operators and Tenders;Baby Boomer; 	49.127 ;55.769;6.642;14 %;12%;15%;3%;
49;49-1011;First-Line Supervisors of Mechanics, Installers, and Repairers;Baby Boomer; 	85.107 ;91.660;6.553;8 %;19%;21%;3%;
43;43-4111;Interviewers, Except Eligibility and Loan;Baby Boomer; 	29.404 ;35.947;6.543;22 %;14%;16%;2%;
21;21-1093;Social and Human Service Assistants;Baby Boomer; 	52.485 ;58.998;6.513;12 %;15%;16%;1%;
35;35-9011;Dining Room and Cafeteria Attendants and Bartender Helpers;Baby Boomer; 	27.500 ;34.000;6.500;24 %;7%;8%;1%;
15;15-1142;Network and Computer Systems Administrators;Baby Boomer; 	32.864 ;39.255;6.391;19 %;9%;11%;2%;
13;13-1041;Compliance Officers;Baby Boomer; 	40.344 ;46.707;6.363;16 %;18%;19%;1%;
29;29-1051;Pharmacists;Baby Boomer; 	42.771 ;48.977;6.206;15 %;15%;17%;2%;
11;11-3031;Financial Managers;Baby Boomer; 	80.271 ;86.352;6.081;8 %;15%;17%;2%;
11;11-3011;Administrative Services Managers;Baby Boomer; 	54.114 ;60.161;6.047;11 %;20%;22%;2%;
43;43-5071;Shipping, Receiving, and Traffic Clerks;Baby Boomer; 	95.322 ;101.246;5.924;6 %;12%;14%;2%;
45;45-2092;Farmworkers and Laborers, Crop, Nursery, and Greenhouse;Baby Boomer; 	64.310 ;70.211;5.901;9 %;9%;9%;0%;
29;29-1171;Nurse Practitioners;Baby Boomer; 	17.371 ;23.246;5.875;34 %;18%;21%;3%;
11;11-2022;Sales Managers;Baby Boomer; 	49.854 ;55.659;5.805;12 %;13%;15%;2%;
29;29-2052;Pharmacy Technicians;Baby Boomer; 	34.028 ;39.827;5.799;17 %;10%;11%;1%;
35;35-3041;Food Servers, Nonrestaurant;Baby Boomer; 	24.732 ;30.518;5.786;23 %;11%;12%;1%;
53;53-7061;Cleaners of Vehicles and Equipment;Baby Boomer; 	32.226 ;37.829;5.603;17 %;9%;11%;2%;
13;13-1081;Logisticians;Baby Boomer; 	18.517 ;24.115;5.598;30 %;17%;19%;2%;
41;41-2021;Counter and Rental Clerks;Baby Boomer; 	51.700 ;57.271;5.571;11 %;11%;13%;2%;
43;43-9041;Insurance Claims and Policy Processing Clerks;Baby Boomer; 	33.504 ;39.016;5.512;16 %;14%;17%;3%;
43;43-3011;Bill and Account Collectors;Baby Boomer; 	42.176 ;47.667;5.491;13 %;10%;12%;2%;
53;53-7051;Industrial Truck and Tractor Operators;Baby Boomer; 	63.017 ;68.503;5.486;9 %;11%;13%;2%;
39;39-5012;Hairdressers, Hairstylists, and Cosmetologists;Baby Boomer; 	61.565 ;67.013;5.448;9 %;10%;10%;0%;
21;21-1022;Healthcare Social Workers;Baby Boomer; 	23.617 ;29.048;5.431;23 %;17%;19%;2%;
53;53-3022;Bus Drivers, School or Special Client ;Baby Boomer; 	102.158 ;107.531;5.373;5 %;22%;23%;1%;
13;13-1023;Purchasing Agents, Except Wholesale, Retail, and Farm Products;Baby Boomer; 	58.260 ;63.503;5.243;9 %;19%;22%;3%;
29;29-2012;Medical and Clinical Laboratory Technicians;Baby Boomer; 	22.852 ;27.840;4.988;22 %;15%;17%;2%;
15;15-1131;Computer Programmers;Baby Boomer; 	36.863 ;41.791;4.928;13 %;11%;12%;1%;
13;13-1031;Claims Adjusters, Examiners, and Investigators;Baby Boomer; 	42.140 ;47.010;4.870;12 %;15%;17%;2%;
29;29-2011;Medical and Clinical Laboratory Technologists;Baby Boomer; 	24.816 ;29.566;4.750;19 %;16%;18%;2%;
25;25-3021;Self-Enrichment Education Teachers;Baby Boomer; 	52.770 ;57.514;4.744;9 %;17%;17%;1%;
49;49-3023;Automotive Service Technicians and Mechanics;Baby Boomer; 	81.062 ;85.803;4.741;6 %;10%;12%;2%;
29;29-1123;Physical Therapists;Baby Boomer; 	16.740 ;21.450;4.710;28 %;9%;10%;1%;
35;35-9031;Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop;Baby Boomer; 	12.945 ;17.623;4.678;36 %;4%;5%;1%;
35;35-3022;Counter Attendants, Cafeteria, Food Concession, and Coffee Shop;Baby Boomer; 	18.920 ;23.585;4.665;25 %;4%;5%;1%;
17;17-2141;Mechanical Engineers;Baby Boomer; 	41.432 ;46.096;4.664;11 %;15%;18%;3%;
17;17-2112;Industrial Engineers;Baby Boomer; 	42.070 ;46.707;4.637;11 %;18%;21%;3%;
21;21-1014;Mental Health Counselors;Baby Boomer; 	19.662 ;24.201;4.539;23 %;17%;19%;2%;
43;43-6012;Legal Secretaries;Baby Boomer; 	43.362 ;47.861;4.499;10 %;19%;22%;3%;
39;39-9032;Recreation Workers;Baby Boomer; 	42.369 ;46.834;4.465;11 %;13%;13%;0%;
29;29-1126;Respiratory Therapists;Baby Boomer; 	14.732 ;19.191;4.459;30 %;14%;16%;2%;
11;11-9041;Architectural and Engineering Managers;Baby Boomer; 	39.866 ;44.317;4.451;11 %;20%;23%;3%;
53;53-1021;First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand;Baby Boomer; 	24.724 ;29.147;4.423;18 %;14%;17%;3%;
35;35-2011;Cooks, Fast Food;Baby Boomer; 	28.268 ;32.675;4.407;16 %;5%;6%;1%;
51;51-4121;Welders, Cutters, Solderers, and Brazers;Baby Boomer; 	49.823 ;54.167;4.344;9 %;12%;15%;3%;
41;41-9099;Sales and Related Workers, All Other;Baby Boomer; 	25.818 ;30.128;4.310;17 %;17%;19%;2%;
47;47-2061;Construction Laborers;Baby Boomer; 	123.393 ;127.558;4.165;3 %;9%;10%;1%;
43;43-5032;Dispatchers, Except Police, Fire, and Ambulance;Baby Boomer; 	27.816 ;31.961;4.145;15 %;14%;16%;2%;
25;25-3099;Teachers and Instructors, All Other;Baby Boomer; 	59.441 ;63.571;4.130;7 %;18%;18%;0%;
55;55-9999;Military occupations;Baby Boomer; 	345.089 ;349.133;4.044;1 %;17%;17%;0%;
27;27-3031;Public Relations Specialists;Baby Boomer; 	26.221 ;30.220;3.999;15 %;12%;14%;2%;
11;11-2021;Marketing Managers;Baby Boomer; 	23.287 ;27.281;3.994;17 %;13%;14%;1%;
25;25-2021;Elementary School Teachers, Except Special Education;Baby Boomer; 	279.790 ;283.774;3.984;1 %;21%;21%;0%;
35;35-3011;Bartenders;Baby Boomer; 	35.155 ;39.049;3.894;11 %;6%;7%;1%;
51;51-2092;Team Assemblers;Baby Boomer; 	150.148 ;154.038;3.890;3 %;12%;15%;3%;
43;43-5061;Production, Planning, and Expediting Clerks;Baby Boomer; 	51.387 ;55.275;3.888;8 %;16%;19%;3%;
39;39-2021;Nonfarm Animal Caretakers;Baby Boomer; 	16.869 ;20.714;3.845;23 %;9%;10%;1%;
39;39-9031;Fitness Trainers and Aerobics Instructors;Baby Boomer; 	20.174 ;23.989;3.815;19 %;8%;9%;1%;
39;39-3091;Amusement and Recreation Attendants;Baby Boomer; 	29.788 ;33.587;3.799;13 %;11%;12%;1%;
51;51-4011;Computer-Controlled Machine Tool Operators, Metal and Plastic;Baby Boomer; 	18.744 ;22.448;3.704;20 %;13%;16%;3%;
17;17-2071;Electrical Engineers;Baby Boomer; 	31.496 ;35.193;3.697;12 %;18%;21%;3%;
43;43-9199;Office and Administrative Support Workers, All Other;Baby Boomer; 	50.037 ;53.734;3.697;7 %;16%;17%;1%;
41;41-9041;Telemarketers;Baby Boomer; 	21.336 ;24.937;3.601;17 %;8%;9%;1%;
27;27-2022;Coaches and Scouts;Baby Boomer; 	23.838 ;27.423;3.585;15 %;11%;12%;1%;
51;51-3011;Bakers;Baby Boomer; 	18.334 ;21.901;3.567;19 %;11%;13%;2%;
43;43-3051;Payroll and Timekeeping Clerks;Baby Boomer; 	29.099 ;32.665;3.566;12 %;15%;17%;2%;
51;51-3022;Meat, Poultry, and Fish Cutters and Trimmers;Baby Boomer; 	17.218 ;20.772;3.554;21 %;10%;13%;3%;
41;41-2022;Parts Salespersons;Baby Boomer; 	35.692 ;39.222;3.530;10 %;15%;17%;2%;
49;49-2011;Computer, Automated Teller, and Office Machine Repairers;Baby Boomer; 	16.452 ;19.916;3.464;21 %;11%;14%;3%;
43;43-4151;Order Clerks;Baby Boomer; 	31.038 ;34.481;3.443;11 %;14%;16%;2%;
51;51-3021;Butchers and Meat Cutters;Baby Boomer; 	19.036 ;22.475;3.439;18 %;14%;16%;2%;
31;31-9094;Medical Transcriptionists;Baby Boomer; 	13.440 ;16.807;3.367;25 %;17%;19%;2%;
29;29-1062;Family and General Practitioners;Baby Boomer; 	22.828 ;26.173;3.345;15 %;19%;21%;2%;
29;29-2041;Emergency Medical Technicians and Paramedics;Baby Boomer; 	20.273 ;23.598;3.325;16 %;10%;10%;0%;
15;15-1152;Computer Network Support Specialists;Baby Boomer; 	18.888 ;22.209;3.321;18 %;10%;12%;2%;
49;49-3031;Bus and Truck Mechanics and Diesel Engine Specialists;Baby Boomer; 	38.574 ;41.821;3.247;8 %;15%;17%;2%;
17;17-2171;Petroleum Engineers;Baby Boomer; 	5.847 ;9.065;3.218;55 %;18%;22%;4%;
11;11-3051;Industrial Production Managers;Baby Boomer; 	31.811 ;35.029;3.218;10 %;18%;21%;3%;
43;43-4199;Information and Record Clerks, All Other;Baby Boomer; 	30.732 ;33.943;3.211;10 %;16%;17%;1%;
39;39-9011;Childcare Workers;Baby Boomer; 	184.865 ;188.023;3.158;2 %;13%;13%;0%;
21;21-1023;Mental Health and Substance Abuse Social Workers;Baby Boomer; 	17.935 ;21.088;3.153;18 %;16%;18%;2%;
51;51-1011;First-Line Supervisors of Production and Operating Workers;Baby Boomer; 	109.795 ;112.947;3.152;3 %;16%;19%;3%;
53;53-1031;First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators;Baby Boomer; 	34.298 ;37.443;3.145;9 %;16%;18%;2%;
15;15-1141;Database Administrators;Baby Boomer; 	12.237 ;15.358;3.121;26 %;11%;13%;2%;
39;39-3031;Ushers, Lobby Attendants, and Ticket Takers;Baby Boomer; 	14.115 ;17.201;3.086;22 %;12%;15%;3%;
25;25-9041;Teacher Assistants;Baby Boomer; 	243.445 ;246.521;3.076;1 %;19%;20%;1%;
13;13-1121;Meeting, Convention, and Event Planners;Baby Boomer; 	7.661 ;10.731;3.070;40 %;11%;12%;1%;
43;43-4161;Human Resources Assistants, Except Payroll and Timekeeping;Baby Boomer; 	21.956 ;25.021;3.065;14 %;15%;16%;1%;
19;19-1042;Medical Scientists, Except Epidemiologists;Baby Boomer; 	9.689 ;12.722;3.033;31 %;11%;13%;2%;
29;29-2099;Health Technologists and Technicians, All Other;Baby Boomer; 	10.477 ;13.472;2.995;29 %;13%;15%;2%;
11;11-3121;Human Resources Managers;Baby Boomer; 	19.155 ;22.128;2.973;16 %;18%;20%;2%;
43;43-4081;Hotel, Motel, and Resort Desk Clerks;Baby Boomer; 	20.158 ;23.055;2.897;14 %;9%;10%;1%;
49;49-9021;Heating, Air Conditioning, and Refrigeration Mechanics and Installers;Baby Boomer; 	29.553 ;32.438;2.885;10 %;9%;11%;2%;
51;51-6011;Laundry and Dry-Cleaning Workers;Baby Boomer; 	37.008 ;39.893;2.885;8 %;16%;18%;2%;
53;53-3021;Bus Drivers, Transit and Intercity ;Baby Boomer; 	35.406 ;38.229;2.823;8 %;21%;22%;1%;
53;53-2031;Flight Attendants;Baby Boomer; 	15.055 ;17.834;2.779;18 %;17%;22%;5%;
13;13-2082;Tax Preparers;Baby Boomer; 	21.025 ;23.786;2.761;13 %;24%;26%;2%;
