"faa","name","lat","lon","alt","tz","dst","city","country","flight_date","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","airline","tail_number","flight_number","origin","dest","air_time","actual_elapsed_time","distance","cancelled","diverted"
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1228,1236,-8,1230,1246,-16,DL,N999DN,1353,ATL,PNS,45,62,271,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-06",1304,1305,-1,1608,1610,-2,MQ,N237NN,4069,DFW,TLH,106,124,767,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",1303,1307,-4,1343,1350,-7,OH,N575NN,5500,CLT,VPS,69,100,460,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-06",1351,1355,-4,1347,1359,-12,DL,N945DL,2506,ATL,ECP,40,56,240,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1404,1414,-10,1535,1554,-19,YX,N136HQ,4537,PHL,PNS,131,151,935,0,0
TLH,Tallahassee Regional Airport,30.396499633789062,-84.35030364990234,81,-5.0,A,Tallahassee,United States,"2018-10-06",1416,1421,-5,1506,1522,-16,DL,N924AT,1399,ATL,TLH,39,50,223,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-06",1446,1435,11,1626,1620,6,WN,N737JW,4933,STL,ECP,90,100,634,0,0
ECP,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,-6.0,A,Panama City,United States,"2018-10-06",1439,1445,-6,1621,1628,-7,YV,N85351,6212,IAH,ECP,86,102,572,0,0
PNS,Pensacola Regional Airport,30.473400115967,-87.186599731445,121,-6.0,A,Pensacola,United States,"2018-10-06",1459,1500,-1,1616,1625,-9,WN,N249WN,3902,HOU,PNS,68,77,488,0,0
VPS,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,-6.0,A,Valparaiso,United States,"2018-10-06",1550,1536,14,1641,1623,18,G4,"274NV",1901,CVG,VPS,86,111,600,0,0
